mpg,cylinders,displacement,horsepower,acceleration,cylinders^2,displacement^2,horsepower^2,acceleration^2
14.0,8,318.0,150.0,14.5,64,101124.0,22500.0,210.25
13.0,8,440.0,215.0,11.0,64,193600.0,46225.0,121.0
12.0,8,455.0,225.0,11.0,64,207025.0,50625.0,121.0
13.0,8,360.0,175.0,11.0,64,129600.0,30625.0,121.0
18.0,6,225.0,105.0,16.5,36,50625.0,11025.0,272.25
16.0,6,250.0,100.0,18.0,36,62500.0,10000.0,324.0
18.0,6,232.0,100.0,16.0,36,53824.0,10000.0,256.0
18.0,6,250.0,88.0,16.5,36,62500.0,7744.0,272.25
23.0,6,198.0,95.0,16.0,36,39204.0,9025.0,256.0
26.0,4,97.0,46.0,21.0,16,9409.0,2116.0,441.0
11.0,8,400.0,150.0,14.0,64,160000.0,22500.0,196.0
12.0,8,400.0,167.0,12.5,64,160000.0,27889.0,156.25
13.0,8,360.0,170.0,13.0,64,129600.0,28900.0,169.0
12.0,8,350.0,180.0,12.5,64,122500.0,32400.0,156.25
18.0,6,232.0,100.0,15.0,36,53824.0,10000.0,225.0
20.0,4,97.0,88.0,19.0,16,9409.0,7744.0,361.0
21.0,4,140.0,72.0,19.5,16,19600.0,5184.0,380.25
22.0,4,108.0,94.0,16.5,16,11664.0,8836.0,272.25
18.0,3,70.0,90.0,13.5,9,4900.0,8100.0,182.25
19.0,4,122.0,85.0,18.5,16,14884.0,7225.0,342.25
21.0,6,155.0,107.0,14.0,36,24025.0,11449.0,196.0
26.0,4,98.0,90.0,15.5,16,9604.0,8100.0,240.25
15.0,8,350.0,145.0,13.0,64,122500.0,21025.0,169.0
16.0,8,400.0,230.0,9.5,64,160000.0,52900.0,90.25
29.0,4,68.0,49.0,19.5,16,4624.0,2401.0,380.25
24.0,4,116.0,75.0,15.5,16,13456.0,5625.0,240.25
20.0,4,114.0,91.0,14.0,16,12996.0,8281.0,196.0
19.0,4,121.0,112.0,15.5,16,14641.0,12544.0,240.25
15.0,8,318.0,150.0,11.0,64,101124.0,22500.0,121.0
24.0,4,121.0,110.0,14.0,16,14641.0,12100.0,196.0
20.0,6,156.0,122.0,13.5,36,24336.0,14884.0,182.25
11.0,8,350.0,180.0,11.0,64,122500.0,32400.0,121.0
20.0,6,198.0,95.0,16.5,36,39204.0,9025.0,272.25
19.0,6,232.0,100.0,16.0,36,53824.0,10000.0,256.0
15.0,6,250.0,100.0,17.0,36,62500.0,10000.0,289.0
31.0,4,79.0,67.0,19.0,16,6241.0,4489.0,361.0
26.0,4,122.0,80.0,16.5,16,14884.0,6400.0,272.25
32.0,4,71.0,65.0,21.0,16,5041.0,4225.0,441.0
25.0,4,140.0,75.0,17.0,16,19600.0,5625.0,289.0
16.0,6,250.0,100.0,17.0,36,62500.0,10000.0,289.0
16.0,6,258.0,110.0,18.0,36,66564.0,12100.0,324.0
18.0,6,225.0,105.0,16.5,36,50625.0,11025.0,272.25
16.0,8,302.0,140.0,14.0,64,91204.0,19600.0,196.0
13.0,8,350.0,150.0,14.5,64,122500.0,22500.0,210.25
14.0,8,318.0,150.0,13.5,64,101124.0,22500.0,182.25
14.0,8,302.0,140.0,16.0,64,91204.0,19600.0,256.0
14.0,8,304.0,150.0,15.5,64,92416.0,22500.0,240.25
29.0,4,98.0,83.0,16.5,16,9604.0,6889.0,272.25
26.0,4,79.0,67.0,15.5,16,6241.0,4489.0,240.25
26.0,4,97.0,78.0,14.5,16,9409.0,6084.0,210.25
31.0,4,76.0,52.0,16.5,16,5776.0,2704.0,272.25
32.0,4,83.0,61.0,19.0,16,6889.0,3721.0,361.0
28.0,4,90.0,75.0,14.5,16,8100.0,5625.0,210.25
24.0,4,90.0,75.0,15.5,16,8100.0,5625.0,240.25
26.0,4,116.0,75.0,14.0,16,13456.0,5625.0,196.0
24.0,4,120.0,97.0,15.0,16,14400.0,9409.0,225.0
26.0,4,108.0,93.0,15.5,16,11664.0,8649.0,240.25
31.0,4,79.0,67.0,16.0,16,6241.0,4489.0,256.0
19.0,6,225.0,95.0,16.0,36,50625.0,9025.0,256.0
18.0,6,250.0,105.0,16.0,36,62500.0,11025.0,256.0
15.0,6,250.0,72.0,21.0,36,62500.0,5184.0,441.0
15.0,6,250.0,72.0,19.5,36,62500.0,5184.0,380.25
16.0,8,400.0,170.0,11.5,64,160000.0,28900.0,132.25
15.0,8,350.0,145.0,14.0,64,122500.0,21025.0,196.0
16.0,8,318.0,150.0,14.5,64,101124.0,22500.0,210.25
14.0,8,351.0,148.0,13.5,64,123201.0,21904.0,182.25
17.0,6,231.0,110.0,21.0,36,53361.0,12100.0,441.0
16.0,6,250.0,105.0,18.5,36,62500.0,11025.0,342.25
15.0,6,258.0,110.0,19.0,36,66564.0,12100.0,361.0
18.0,6,225.0,95.0,19.0,36,50625.0,9025.0,361.0
21.0,6,231.0,110.0,15.0,36,53361.0,12100.0,225.0
20.0,8,262.0,110.0,13.5,64,68644.0,12100.0,182.25
13.0,8,302.0,129.0,12.0,64,91204.0,16641.0,144.0
29.0,4,97.0,75.0,16.0,16,9409.0,5625.0,256.0
23.0,4,140.0,83.0,17.0,16,19600.0,6889.0,289.0
20.0,6,232.0,100.0,16.0,36,53824.0,10000.0,256.0
23.0,4,140.0,78.0,18.5,16,19600.0,6084.0,342.25
24.0,4,134.0,96.0,13.5,16,17956.0,9216.0,182.25
25.0,4,90.0,71.0,16.5,16,8100.0,5041.0,272.25
24.0,4,119.0,97.0,17.0,16,14161.0,9409.0,289.0
18.0,6,171.0,97.0,14.5,36,29241.0,9409.0,210.25
29.0,4,90.0,70.0,14.0,16,8100.0,4900.0,196.0
19.0,6,232.0,90.0,17.0,36,53824.0,8100.0,289.0
23.0,4,115.0,95.0,15.0,16,13225.0,9025.0,225.0
23.0,4,120.0,88.0,17.0,16,14400.0,7744.0,289.0
22.0,4,121.0,98.0,14.5,16,14641.0,9604.0,210.25
25.0,4,121.0,115.0,13.5,16,14641.0,13225.0,182.25
33.0,4,91.0,53.0,17.5,16,8281.0,2809.0,306.25
28.0,4,107.0,86.0,15.5,16,11449.0,7396.0,240.25
25.0,4,116.0,81.0,16.9,16,13456.0,6561.0,285.60999999999996
25.0,4,140.0,92.0,14.9,16,19600.0,8464.0,222.01000000000002
26.0,4,98.0,79.0,17.7,16,9604.0,6241.0,313.28999999999996
27.0,4,101.0,83.0,15.3,16,10201.0,6889.0,234.09000000000003
17.5,8,305.0,140.0,13.0,64,93025.0,19600.0,169.0
16.0,8,318.0,150.0,13.0,64,101124.0,22500.0,169.0
15.5,8,304.0,120.0,13.9,64,92416.0,14400.0,193.21
14.5,8,351.0,152.0,12.8,64,123201.0,23104.0,163.84000000000003
22.0,6,225.0,100.0,15.4,36,50625.0,10000.0,237.16000000000003
22.0,6,250.0,105.0,14.5,36,62500.0,11025.0,210.25
24.0,6,200.0,81.0,17.6,36,40000.0,6561.0,309.76000000000005
22.5,6,232.0,90.0,17.6,36,53824.0,8100.0,309.76000000000005
29.0,4,85.0,52.0,22.2,16,7225.0,2704.0,492.84
24.5,4,98.0,60.0,22.1,16,9604.0,3600.0,488.4100000000001
29.0,4,90.0,70.0,14.2,16,8100.0,4900.0,201.64
33.0,4,91.0,53.0,17.4,16,8281.0,2809.0,302.75999999999993
20.0,6,225.0,100.0,17.7,36,50625.0,10000.0,313.28999999999996
18.0,6,250.0,78.0,21.0,36,62500.0,6084.0,441.0
18.5,6,250.0,110.0,16.2,36,62500.0,12100.0,262.44
17.5,6,258.0,95.0,17.8,36,66564.0,9025.0,316.84000000000003
29.5,4,97.0,71.0,12.2,16,9409.0,5041.0,148.83999999999997
32.0,4,85.0,70.0,17.0,16,7225.0,4900.0,289.0
28.0,4,97.0,75.0,16.4,16,9409.0,5625.0,268.96
26.5,4,140.0,72.0,13.6,16,19600.0,5184.0,184.95999999999998
20.0,4,130.0,102.0,15.7,16,16900.0,10404.0,246.48999999999998
13.0,8,318.0,150.0,13.2,64,101124.0,22500.0,174.23999999999998
19.0,4,120.0,88.0,21.9,16,14400.0,7744.0,479.60999999999996
19.0,6,156.0,108.0,15.5,36,24336.0,11664.0,240.25
16.5,6,168.0,120.0,16.7,36,28224.0,14400.0,278.89
16.5,8,350.0,180.0,12.1,64,122500.0,32400.0,146.41
13.0,8,350.0,145.0,12.0,64,122500.0,21025.0,144.0
13.0,8,302.0,130.0,15.0,64,91204.0,16900.0,225.0
13.0,8,318.0,150.0,14.0,64,101124.0,22500.0,196.0
31.5,4,98.0,68.0,18.5,16,9604.0,4624.0,342.25
30.0,4,111.0,80.0,14.8,16,12321.0,6400.0,219.04000000000002
36.0,4,79.0,58.0,18.6,16,6241.0,3364.0,345.96000000000004
25.5,4,122.0,96.0,15.5,16,14884.0,9216.0,240.25
33.5,4,85.0,70.0,16.8,16,7225.0,4900.0,282.24
17.5,8,305.0,145.0,12.5,64,93025.0,21025.0,156.25
17.0,8,260.0,110.0,19.0,64,67600.0,12100.0,361.0
15.5,8,318.0,145.0,13.7,64,101124.0,21025.0,187.68999999999997
15.0,8,302.0,130.0,14.9,64,91204.0,16900.0,222.01000000000002
17.5,6,250.0,110.0,16.4,36,62500.0,12100.0,268.96
20.5,6,231.0,105.0,16.9,36,53361.0,11025.0,285.60999999999996
19.0,6,225.0,100.0,17.7,36,50625.0,10000.0,313.28999999999996
18.5,6,250.0,98.0,19.0,36,62500.0,9604.0,361.0
16.0,8,400.0,180.0,11.1,64,160000.0,32400.0,123.21
15.5,8,350.0,170.0,11.4,64,122500.0,28900.0,129.96
15.5,8,400.0,190.0,12.2,64,160000.0,36100.0,148.83999999999997
16.0,8,351.0,149.0,14.5,64,123201.0,22201.0,210.25
29.0,4,97.0,78.0,14.5,16,9409.0,6084.0,210.25
24.5,4,151.0,88.0,16.0,16,22801.0,7744.0,256.0
26.0,4,97.0,75.0,18.2,16,9409.0,5625.0,331.23999999999995
25.5,4,140.0,89.0,15.8,16,19600.0,7921.0,249.64000000000001
30.5,4,98.0,63.0,17.0,16,9604.0,3969.0,289.0
33.5,4,98.0,83.0,15.9,16,9604.0,6889.0,252.81
30.0,4,97.0,67.0,16.4,16,9409.0,4489.0,268.96
30.5,4,97.0,78.0,14.1,16,9409.0,6084.0,198.81
22.0,6,146.0,97.0,14.5,36,21316.0,9409.0,210.25
21.5,4,121.0,110.0,12.8,16,14641.0,12100.0,163.84000000000003
21.5,3,80.0,110.0,13.5,9,6400.0,12100.0,182.25
43.1,4,90.0,48.0,21.5,16,8100.0,2304.0,462.25
36.1,4,98.0,66.0,14.4,16,9604.0,4356.0,207.36
32.8,4,78.0,52.0,19.4,16,6084.0,2704.0,376.35999999999996
39.4,4,85.0,70.0,18.6,16,7225.0,4900.0,345.96000000000004
36.1,4,91.0,60.0,16.4,16,8281.0,3600.0,268.96
19.9,8,260.0,110.0,15.5,64,67600.0,12100.0,240.25
19.4,8,318.0,140.0,13.2,64,101124.0,19600.0,174.23999999999998
20.2,8,302.0,139.0,12.8,64,91204.0,19321.0,163.84000000000003
19.2,6,231.0,105.0,19.2,36,53361.0,11025.0,368.64
20.5,6,200.0,95.0,18.2,36,40000.0,9025.0,331.23999999999995
20.2,6,200.0,85.0,15.8,36,40000.0,7225.0,249.64000000000001
25.1,4,140.0,88.0,15.4,16,19600.0,7744.0,237.16000000000003
20.5,6,225.0,100.0,17.2,36,50625.0,10000.0,295.84
19.4,6,232.0,90.0,17.2,36,53824.0,8100.0,295.84
20.6,6,231.0,105.0,15.8,36,53361.0,11025.0,249.64000000000001
20.8,6,200.0,85.0,16.7,36,40000.0,7225.0,278.89
18.6,6,225.0,110.0,18.7,36,50625.0,12100.0,349.69
18.1,6,258.0,120.0,15.1,36,66564.0,14400.0,228.01
19.2,8,305.0,145.0,13.2,64,93025.0,21025.0,174.23999999999998
17.7,6,231.0,165.0,13.4,36,53361.0,27225.0,179.56
18.1,8,302.0,139.0,11.2,64,91204.0,19321.0,125.43999999999998
17.5,8,318.0,140.0,13.7,64,101124.0,19600.0,187.68999999999997
30.0,4,98.0,68.0,16.5,16,9604.0,4624.0,272.25
27.5,4,134.0,95.0,14.2,16,17956.0,9025.0,201.64
27.2,4,119.0,97.0,14.7,16,14161.0,9409.0,216.08999999999997
30.9,4,105.0,75.0,14.5,16,11025.0,5625.0,210.25
21.1,4,134.0,95.0,14.8,16,17956.0,9025.0,219.04000000000002
23.2,4,156.0,105.0,16.7,16,24336.0,11025.0,278.89
23.8,4,151.0,85.0,17.6,16,22801.0,7225.0,309.76000000000005
23.9,4,119.0,97.0,14.9,16,14161.0,9409.0,222.01000000000002
20.3,5,131.0,103.0,15.9,25,17161.0,10609.0,252.81
17.0,6,163.0,125.0,13.6,36,26569.0,15625.0,184.95999999999998
21.6,4,121.0,115.0,15.7,16,14641.0,13225.0,246.48999999999998
16.2,6,163.0,133.0,15.8,36,26569.0,17689.0,249.64000000000001
31.5,4,89.0,71.0,14.9,16,7921.0,5041.0,222.01000000000002
29.5,4,98.0,68.0,16.6,16,9604.0,4624.0,275.56000000000006
21.5,6,231.0,115.0,15.4,36,53361.0,13225.0,237.16000000000003
19.8,6,200.0,85.0,18.2,36,40000.0,7225.0,331.23999999999995
22.3,4,140.0,88.0,17.3,16,19600.0,7744.0,299.29
20.2,6,232.0,90.0,18.2,36,53824.0,8100.0,331.23999999999995
20.6,6,225.0,110.0,16.6,36,50625.0,12100.0,275.56000000000006
17.0,8,305.0,130.0,15.4,64,93025.0,16900.0,237.16000000000003
17.6,8,302.0,129.0,13.4,64,91204.0,16641.0,179.56
16.5,8,351.0,138.0,13.2,64,123201.0,19044.0,174.23999999999998
18.2,8,318.0,135.0,15.2,64,101124.0,18225.0,231.04
16.9,8,350.0,155.0,14.9,64,122500.0,24025.0,222.01000000000002
15.5,8,351.0,142.0,14.3,64,123201.0,20164.0,204.49
19.2,8,267.0,125.0,15.0,64,71289.0,15625.0,225.0
18.5,8,360.0,150.0,13.0,64,129600.0,22500.0,169.0
31.9,4,89.0,71.0,14.0,16,7921.0,5041.0,196.0
34.1,4,86.0,65.0,15.2,16,7396.0,4225.0,231.04
35.7,4,98.0,80.0,14.4,16,9604.0,6400.0,207.36
27.4,4,121.0,80.0,15.0,16,14641.0,6400.0,225.0
25.4,5,183.0,77.0,20.1,25,33489.0,5929.0,404.01000000000005
23.0,8,350.0,125.0,17.4,64,122500.0,15625.0,302.75999999999993
27.2,4,141.0,71.0,24.8,16,19881.0,5041.0,615.0400000000001
23.9,8,260.0,90.0,22.2,64,67600.0,8100.0,492.84
34.2,4,105.0,70.0,13.2,16,11025.0,4900.0,174.23999999999998
34.5,4,105.0,70.0,14.9,16,11025.0,4900.0,222.01000000000002
31.8,4,85.0,65.0,19.2,16,7225.0,4225.0,368.64
37.3,4,91.0,69.0,14.7,16,8281.0,4761.0,216.08999999999997
28.4,4,151.0,90.0,16.0,16,22801.0,8100.0,256.0
28.8,6,173.0,115.0,11.3,36,29929.0,13225.0,127.69000000000001
26.8,6,173.0,115.0,12.9,36,29929.0,13225.0,166.41
33.5,4,151.0,90.0,13.2,16,22801.0,8100.0,174.23999999999998
41.5,4,98.0,76.0,14.7,16,9604.0,5776.0,216.08999999999997
38.1,4,89.0,60.0,18.8,16,7921.0,3600.0,353.44000000000005
32.1,4,98.0,70.0,15.5,16,9604.0,4900.0,240.25
37.2,4,86.0,65.0,16.4,16,7396.0,4225.0,268.96
28.0,4,151.0,90.0,16.5,16,22801.0,8100.0,272.25
26.4,4,140.0,88.0,18.1,16,19600.0,7744.0,327.61000000000007
24.3,4,151.0,90.0,20.1,16,22801.0,8100.0,404.01000000000005
19.1,6,225.0,90.0,18.7,36,50625.0,8100.0,349.69
34.3,4,97.0,78.0,15.8,16,9409.0,6084.0,249.64000000000001
29.8,4,134.0,90.0,15.5,16,17956.0,8100.0,240.25
31.3,4,120.0,75.0,17.5,16,14400.0,5625.0,306.25
37.0,4,119.0,92.0,15.0,16,14161.0,8464.0,225.0
32.2,4,108.0,75.0,15.2,16,11664.0,5625.0,231.04
46.6,4,86.0,65.0,17.9,16,7396.0,4225.0,320.40999999999997
27.9,4,156.0,105.0,14.4,16,24336.0,11025.0,207.36
40.8,4,85.0,65.0,19.2,16,7225.0,4225.0,368.64
44.3,4,90.0,48.0,21.7,16,8100.0,2304.0,470.89
43.4,4,90.0,48.0,23.7,16,8100.0,2304.0,561.6899999999999
36.4,5,121.0,67.0,19.9,25,14641.0,4489.0,396.00999999999993
30.0,4,146.0,67.0,21.8,16,21316.0,4489.0,475.24
44.6,4,91.0,67.0,13.8,16,8281.0,4489.0,190.44000000000003
33.8,4,97.0,67.0,18.0,16,9409.0,4489.0,324.0
29.8,4,89.0,62.0,15.3,16,7921.0,3844.0,234.09000000000003
32.7,6,168.0,132.0,11.4,36,28224.0,17424.0,129.96
23.7,3,70.0,100.0,12.5,9,4900.0,10000.0,156.25
35.0,4,122.0,88.0,15.1,16,14884.0,7744.0,228.01
32.4,4,107.0,72.0,17.0,16,11449.0,5184.0,289.0
27.2,4,135.0,84.0,15.7,16,18225.0,7056.0,246.48999999999998
26.6,4,151.0,84.0,16.4,16,22801.0,7056.0,268.96
25.8,4,156.0,92.0,14.4,16,24336.0,8464.0,207.36
23.5,6,173.0,110.0,12.6,36,29929.0,12100.0,158.76
30.0,4,135.0,84.0,12.9,16,18225.0,7056.0,166.41
39.1,4,79.0,58.0,16.9,16,6241.0,3364.0,285.60999999999996
39.0,4,86.0,64.0,16.4,16,7396.0,4096.0,268.96
35.1,4,81.0,60.0,16.1,16,6561.0,3600.0,259.21000000000004
32.3,4,97.0,67.0,17.8,16,9409.0,4489.0,316.84000000000003
37.0,4,85.0,65.0,19.4,16,7225.0,4225.0,376.35999999999996
37.7,4,89.0,62.0,17.3,16,7921.0,3844.0,299.29
34.1,4,91.0,68.0,16.0,16,8281.0,4624.0,256.0
34.7,4,105.0,63.0,14.9,16,11025.0,3969.0,222.01000000000002
34.4,4,98.0,65.0,16.2,16,9604.0,4225.0,262.44
29.9,4,98.0,65.0,20.7,16,9604.0,4225.0,428.48999999999995
33.0,4,105.0,74.0,14.2,16,11025.0,5476.0,201.64
33.7,4,107.0,75.0,14.4,16,11449.0,5625.0,207.36
32.4,4,108.0,75.0,16.8,16,11664.0,5625.0,282.24
32.9,4,119.0,100.0,14.8,16,14161.0,10000.0,219.04000000000002
31.6,4,120.0,74.0,18.3,16,14400.0,5476.0,334.89000000000004
28.1,4,141.0,80.0,20.4,16,19881.0,6400.0,416.15999999999997
30.7,6,145.0,76.0,19.6,36,21025.0,5776.0,384.1600000000001
25.4,6,168.0,116.0,12.6,36,28224.0,13456.0,158.76
24.2,6,146.0,120.0,13.8,36,21316.0,14400.0,190.44000000000003
22.4,6,231.0,110.0,15.8,36,53361.0,12100.0,249.64000000000001
26.6,8,350.0,105.0,19.0,64,122500.0,11025.0,361.0
20.2,6,200.0,88.0,17.1,36,40000.0,7744.0,292.41
17.6,6,225.0,85.0,16.6,36,50625.0,7225.0,275.56000000000006
28.0,4,112.0,88.0,19.6,16,12544.0,7744.0,384.1600000000001
27.0,4,112.0,88.0,18.6,16,12544.0,7744.0,345.96000000000004
34.0,4,112.0,88.0,18.0,16,12544.0,7744.0,324.0
31.0,4,112.0,85.0,16.2,16,12544.0,7225.0,262.44
29.0,4,135.0,84.0,16.0,16,18225.0,7056.0,256.0
27.0,4,151.0,90.0,18.0,16,22801.0,8100.0,324.0
24.0,4,140.0,92.0,16.4,16,19600.0,8464.0,268.96
36.0,4,105.0,74.0,15.3,16,11025.0,5476.0,234.09000000000003
37.0,4,91.0,68.0,18.2,16,8281.0,4624.0,331.23999999999995
31.0,4,91.0,68.0,17.6,16,8281.0,4624.0,309.76000000000005
38.0,4,105.0,63.0,14.7,16,11025.0,3969.0,216.08999999999997
36.0,4,98.0,70.0,17.3,16,9604.0,4900.0,299.29
36.0,4,120.0,88.0,14.5,16,14400.0,7744.0,210.25
36.0,4,107.0,75.0,14.5,16,11449.0,5625.0,210.25
34.0,4,108.0,70.0,16.9,16,11664.0,4900.0,285.60999999999996
38.0,4,91.0,67.0,15.0,16,8281.0,4489.0,225.0
32.0,4,91.0,67.0,15.7,16,8281.0,4489.0,246.48999999999998
38.0,4,91.0,67.0,16.2,16,8281.0,4489.0,262.44
25.0,6,181.0,110.0,16.4,36,32761.0,12100.0,268.96
38.0,6,262.0,85.0,17.0,36,68644.0,7225.0,289.0
26.0,4,156.0,92.0,14.5,16,24336.0,8464.0,210.25
22.0,6,232.0,112.0,14.7,36,53824.0,12544.0,216.08999999999997
32.0,4,144.0,96.0,13.9,16,20736.0,9216.0,193.21
36.0,4,135.0,84.0,13.0,16,18225.0,7056.0,169.0
27.0,4,151.0,90.0,17.3,16,22801.0,8100.0,299.29
27.0,4,140.0,86.0,15.6,16,19600.0,7396.0,243.35999999999999
44.0,4,97.0,52.0,24.6,16,9409.0,2704.0,605.1600000000001
32.0,4,135.0,84.0,11.6,16,18225.0,7056.0,134.56
28.0,4,120.0,79.0,18.6,16,14400.0,6241.0,345.96000000000004
31.0,4,119.0,82.0,19.4,16,14161.0,6724.0,376.35999999999996
